xo,xa,xb,lon,lat,roll,Psc,Psn,Pbc,Pbn,Rsc,Rsn,Rbc,Rbn,crls,crlb,e1,sh,h0,h1,Q1
499.0,0.0,999.0,-56.1753497798873,75.1385732193871,0.0,-80.06235771796182,-83.9838049410699,-165.16717519062587,-168.84888386058628,-9.218188543368871,-4.225171388961408,-17.869618511792595,-5.7863240729695935,0.9001970175258109,0.9875979646499038,5.527105279804441,0.06764547770256409,491.55659934429025,1534.9399245977909,-30.698798491955817
749.0,250.0,1249.0,-56.17686960517006,75.13934239448369,0.0,-79.88193723877347,-83.16776756690169,-165.15560433339027,-168.2861975868664,-9.04855689203732,-3.4253172565783627,-18.0668548620582,-5.829430338810799,0.9681395765431805,0.9885021422030609,5.9960434129625515,0.07225766936410256,490.9464111581668,1518.467091627114,-30.369341832542283
999.0,500.0,1499.0,-56.17838719532138,75.1401121714423,0.0,-78.14511409323622,-83.63195303336845,-165.58636519246323,-167.73104820525936,-7.322093012845514,-3.905041622563296,-18.539472145075308,-4.963860813772245,0.8765144813473433,0.9759769303253041,8.20259417109354,0.05842109437948715,490.3612306845893,1500.772280085059,-30.01544560170118
1249.0,750.0,1749.0,-56.179902507281646,75.14088252232949,0.0,-78.20401603324137,-82.86739736562696,-166.1779339626948,-167.90662343737634,-7.39686769400457,-3.1642950665526532,-19.304685155984235,-5.798129762802522,0.8795421735240231,0.9792886206936714,8.415444810119313,0.06303328604102561,489.4659545754534,1487.5636749302002,-29.751273498604004
1499.0,1000.0,1999.0,-56.181415916215684,75.14165342070065,0.0,-77.65578968321674,-83.16777580259445,-167.64694134107683,-167.14969291771692,-6.876733494004559,-3.5068117285570723,-20.742043255272296,-4.2138213630723085,0.9653939500001893,0.9720297806430358,9.383531506932794,0.05842109437948715,487.8854671425681,1482.5718222377106,-29.651436444754214
1749.0,1250.0,2249.0,-56.18292784965733,75.14242481115194,0.0,-77.20484467355783,-83.57035704477983,-168.79609282847122,-166.9068638008591,-6.450488516181432,-3.946443018496134,-21.712555343654433,-3.3622318242929374,0.9611459675005669,0.9853171851013884,10.261008746941716,0.05380890271794869,486.50003986754217,1483.7685184937698,-29.675370369875395
1999.0,1500.0,2499.0,-56.18443878361835,75.14319662923522,0.0,-79.05830662368244,-80.85453741958878,-169.71182382145273,-169.6966572540898,-8.340549815386591,-1.2855224169259105,-22.194950890803035,-8.088218579561383,0.9286157348126607,0.9882761124672582,8.010830401831099,0.08148205268717952,484.45440898130056,1479.1193816305126,-29.582387632610253
2249.0,1750.0,2749.0,-56.185949023896036,75.14396884500673,0.0,-78.86504597706654,-80.49604017273266,-170.2564988107647,-170.67523744667457,-8.17855182928539,-0.9739191608418295,-23.266921762637047,-10.616032561527755,0.973206438749261,0.9895114975423139,8.395447655096994,0.08148205268717952,482.7138721881078,1459.7952653267407,-29.195905306534815
2499.0,2000.0,2999.0,-56.18745850620647,75.14474147118614,0.0,-80.1257604285943,-80.02949700841191,-170.19858611037617,-169.30231023995205,-9.466578295765459,-0.548344018949535,-25.293644332481225,-10.63143996612027,0.9403732774360053,0.9808573055453002,6.988645125275574,0.09378123045128213,481.1984048078174,1421.9897765614855,-28.43979553122971
2749.0,2250.0,3249.0,-56.188966848998184,75.14551456023193,0.0,-80.11915290056409,-81.68499663256553,-166.45051114015456,-165.93148840159202,-9.496430233967622,-2.2585328424517224,-25.05589066197537,-9.315784091989844,0.9901302964425159,0.8271601809511576,6.048536215580822,0.08301944990769235,479.182783176606,1379.1868168114365,-27.583736336228732
2999.0,2500.0,3499.0,-56.190473277277604,75.14628820429265,0.0,-79.79661367633048,-81.71664702168928,-166.2745672818957,-164.91513570296752,-9.202223175314078,-2.3326814799455953,-26.924987664505583,-10.31213899231285,0.9692889008808451,0.9887271731093106,6.267788301588527,0.0799446554666667,477.6223019137327,1332.9145615772682,-26.658291231545363
3249.0,2750.0,3749.0,-56.19197685670024,75.14706251355189,0.0,-80.25922548638391,-81.43296683446951,-166.42328263184157,-160.67968450670097,-9.689975323399718,-2.08671179977413,-29.485242886840336,-8.29030197297545,0.9696564716855636,0.9774108967026535,5.882690299462438,0.08455684712820517,476.2418761811913,1281.656071942921,-25.63312143885842
3499.0,3000.0,3999.0,-56.19347704905985,75.147837524093,0.0,-78.90467270880195,-83.60600277422691,-164.00304120824026,-156.33034722522154,-8.352771685676437,-4.285771449319531,-29.60586458110845,-5.911516321929085,0.9499663060095763,0.984971197775672,6.499284422060358,0.06303328604102561,475.2915831044418,1237.2884177923636,-24.74576835584727
3749.0,3250.0,4249.0,-56.19497358531052,75.14861325577021,0.0,-79.14156353763369,-82.75249396344722,-160.33129288576453,-153.4018716805528,-8.594050943659253,-3.438845282266475,-27.681892101909654,-5.1264211870917284,0.9482812191658956,0.9904710862078052,6.4906418385518,0.06918287492307691,475.05150906399984,1192.4600636747768,-23.849201273495538
3999.0,3500.0,4499.0,-56.19646671503072,75.14938969200028,0.0,-78.81102133177247,-82.39849337904411,-183.14109428532225,-150.46326706363308,-8.265337904526849,-3.0875884479565947,-51.9649496003402,-3.752756395973607,0.9752628446861493,0.9938491265205694,7.058679855707496,0.06918287492307691,474.9514782138165,1150.9886391956036,-23.019772783912074
4249.0,3750.0,4749.0,-56.19795731996907,75.15016673123063,0.0,-79.92764160563523,-82.79949029291753,-152.76673796312258,-149.8085722361284,-9.38195817838955,-3.488585361829919,-23.926621433979474,-5.857247107183081,0.9678881463656778,0.9851569102258353,5.637543617429625,0.07379506658461539,474.9514782138199,1117.9025159471823,-22.358050318943647
4499.0,4000.0,4999.0,-56.19944633895505,75.15094427718272,0.0,-80.74710642623246,-83.99068774649439,-150.74275449322846,-147.88767179285205,-10.202337726823442,-4.681154907161762,-24.12052500019699,-6.058521620397192,0.9610891878911775,0.9798926870085606,4.681324915889355,0.07225766936410256,474.9014627887302,1086.3024310073852,-21.726048620147704
4749.0,4250.0,5249.0,-56.200934830598534,75.1517222292659,0.0,-81.37613942302679,-83.71423603121565,-148.24718042826268,-148.51591848494988,-10.840248586353043,-4.418019985985943,-23.089176940671848,-8.589309380962087,0.9563400847019173,0.95703996882856,4.308003488366544,0.07686986102564104,474.4163131653437,1057.8457805992284,-21.15691561198457
4999.0,4500.0,5499.0,-56.202423982913714,75.15250044735379,0.0,-82.00568488339712,-83.1306446501986,-147.7199349774589,-147.7358824253433,-11.479139329346708,-3.848446528903877,-23.261916591669962,-8.730438457752287,0.9494184796597546,0.9874495433014733,4.152978108032383,0.086094244348718,473.9061558294128,1040.1509690571813,-20.803019381143628
5249.0,4750.0,5749.0,-56.20391469427295,75.15327883225814,0.0,-81.02530835260887,-81.69295600299284,-148.17402928300424,-147.5008043056397,-10.499221159269627,-2.411445422764868,-23.228167054444874,-8.558749173121482,0.9602511554714201,0.9763592078387368,5.177667891316963,0.08916903878974365,473.88114811686563,1027.4676742306563,-20.54935348461313
5499.0,5000.0,5999.0,-56.20540743461402,75.15405733114494,0.0,-80.3080241434811,-80.37755233803503,-148.6561364814186,-147.27273536827738,-9.78450421721497,-1.09989265841673,-22.597324317170372,-8.228267485282586,0.901969619963339,0.9967924398720246,6.31701095338347,0.0922438332307693,473.74110492660833,1023.2904739189668,-20.465809478379335
5749.0,5250.0,6249.0,-56.20690234157539,75.15483592849148,0.0,-77.87397466842071,-81.49009505844046,-148.4874246142988,-146.11703663009004,-7.3444961784526,-2.2034975332691857,-21.54111023700441,-5.607194466538762,0.8952969733722004,0.9973908975400643,9.182184254946609,0.06918287492307691,474.06620518970016,1025.2765402406685,-20.505530804813368
5999.0,5500.0,6499.0,-56.2083989931016,75.15561468326106,0.0,-77.22307688771517,-81.85989836273475,-148.5134936933933,-144.84216064921225,-6.688010230471057,-2.5649185866494797,-21.04833537776645,-3.4609979389442187,0.9155697790360454,0.9812094558143194,10.523135626178126,0.06303328604102561,474.37129928275573,1029.012704608205,-20.580254092164097
6249.0,5750.0,6749.0,-56.2098968130205,75.15639364958888,0.0,-76.5364055530479,-81.46925411000706,-148.2711362110559,-142.85648914250675,-6.001064160637882,-2.1738622311729285,-19.085270613857297,-0.2760570771463924,0.917259021652563,0.9782704519029065,13.221482542509364,0.06149588882051279,474.38630391028124,1034.8304462662313,-20.696608925324625
6499.0,6000.0,6999.0,-56.21139531471417,75.15717287341683,0.0,-77.16998034512791,-80.85232242027001,-146.60350046913237,-143.33606164370053,-6.631434351036795,-1.5521236389142357,-17.669967352029104,-1.9607120621042406,0.8593041402051845,0.994587227554548,11.65218392885514,0.06918287492307691,474.56135789810105,1030.9088782534286,-20.61817756506857
6749.0,6250.0,7249.0,-56.212894082561434,75.1579523858225,0.0,-78.4011267655754,-80.39364544794631,-144.71632273648362,-143.39738010381947,-7.867433914524443,-1.100726381150779,-17.018511456459137,-3.856899118460515,0.8728751881886141,0.953511480108306,9.021031697724155,0.0799446554666667,474.2962761451177,1023.7258915708856,-20.47451783141771
6999.0,6500.0,7499.0,-56.214392976867195,75.15873217058804,0.0,-80.03969505822579,-77.53926474302264,-143.83827242077558,-144.31144667998674,-9.503346377880892,1.7576380677137906,-12.946026354655224,,0.8799046663105944,0.9591909864374469,9.20399082228254,0.11069259987692322,474.4413208778849,1013.2224941497773,-20.26444988299555
7249.0,6750.0,7749.0,-56.21589205040799,75.15951219596026,0.0,-80.06636580130544,-82.20023220408704,-143.62101603739308,-145.07547828523914,-9.534046973770357,-2.9093741725653324,-19.775371566805624,-7.643238229658928,0.9236106630794726,0.9969748130953148,5.703610104851449,0.07840725824615387,474.22125300748445,1003.1966515725665,-20.06393303145133
