Latitude,Longitude,Start_Depth,Stop_Depth,Midpoint_Depth,Density,Error,Method,Citation
76.499883,-43.732217,0,0.1,-9999,0.302,-9999,1,11
76.499883,-43.732217,0.1,0.2,-9999,0.313,-9999,1,11
76.499883,-43.732217,0.2,0.3,-9999,0.221,-9999,1,11
76.499883,-43.732217,0.3,0.4,-9999,0.306,-9999,1,11
76.499883,-43.732217,0.4,0.5,-9999,0.268,-9999,1,11
76.499883,-43.732217,0.5,0.6,-9999,0.307,-9999,1,11
76.499883,-43.732217,0.6,0.7,-9999,0.361,-9999,1,11
76.499883,-43.732217,0.7,0.8,-9999,0.352,-9999,1,11
76.499883,-43.732217,0.8,0.9,-9999,0.315,-9999,1,11
76.499883,-43.732217,0.9,1,-9999,0.314,-9999,1,11
76.499883,-43.732217,1,1.1,-9999,0.34,-9999,1,11
76.499883,-43.732217,1.1,1.2,-9999,0.308,-9999,1,11
76.499883,-43.732217,0,0.3,-9999,0.322978,-9999,1,11
76.499883,-43.732217,0.3,0.6,-9999,0.247886,-9999,1,11
76.499883,-43.732217,0.6,0.9,-9999,0.3254,-9999,1,11
76.499883,-43.732217,0.9,1.2,-9999,0.310866,-9999,1,11
76.499883,-43.732217,1.2,1.5,-9999,0.395648,-9999,1,11
76.499883,-43.732217,1.5,1.8,-9999,0.321363,-9999,1,11
76.499883,-43.732217,1.8,2.1,-9999,0.343971,-9999,1,11
76.499883,-43.732217,2.1,2.4,-9999,0.327015,-9999,1,11
76.499883,-43.732217,2.4,2.7,-9999,0.350431,-9999,1,11
76.499883,-43.732217,2.7,3,-9999,0.348816,-9999,1,11
76.499883,-43.732217,3,3.3,-9999,0.368195,-9999,1,11
76.499883,-43.732217,3.3,3.6,-9999,0.365773,-9999,1,11
76.499883,-43.732217,3.6,3.9,-9999,0.410989,-9999,1,11
76.499883,-43.732217,3.9,4.2,-9999,0.473163,-9999,1,11
76.499883,-43.732217,4.2,4.5,-9999,0.395648,-9999,1,11
76.499883,-43.732217,4.5,4.8,-9999,0.447324,-9999,1,11
76.499883,-43.732217,4.8,5.1,-9999,0.519187,-9999,1,11
76.499883,-43.732217,5.1,5.4,-9999,0.478007,-9999,1,11
76.499883,-43.732217,5.4,5.7,-9999,0.44571,-9999,1,11
76.499883,-43.732217,5.7,6,-9999,0.503038,-9999,1,11
76.499883,-43.732217,6,6.3,-9999,0.463473,-9999,1,11
76.499883,-43.732217,6.3,6.6,-9999,0.612851,-9999,1,11
76.499883,-43.732217,6.6,6.9,-9999,0.519994,-9999,1,11
76.499883,-43.732217,6.9,7.2,-9999,0.478815,-9999,1,11
76.499883,-43.732217,7.2,7.5,-9999,0.482045,-9999,1,11
76.499883,-43.732217,7.5,7.8,-9999,0.515957,-9999,1,11
76.499883,-43.732217,7.8,8.1,-9999,0.460244,-9999,1,11
76.499883,-43.732217,8.1,8.4,-9999,0.507075,-9999,1,11
76.499883,-43.732217,8.4,8.7,-9999,0.531299,-9999,1,11
76.499883,-43.732217,8.7,9,-9999,0.562789,-9999,1,11
76.499883,-43.732217,9,9.3,-9999,0.536143,-9999,1,11
76.499883,-43.732217,9.3,9.6,-9999,0.511113,-9999,1,11
76.499883,-43.732217,9.6,9.9,-9999,0.524032,-9999,1,11
76.499883,-43.732217,9.9,10.2,-9999,0.491734,-9999,1,11
76.499883,-43.732217,10.2,10.45,-9999,0.587174,-9999,1,11
