Latitude,Longitude,Start_Depth,Stop_Depth,Midpoint_Depth,Density,Error,Method,Citation
66.983217,-45.0449,0,0.09,0.045,0.382,0.052,4,45
66.983217,-45.0449,0.1,0.19,0.145,0.407,0.052,4,45
66.983217,-45.0449,0.2,0.29,0.245,0.382,0.052,4,45
66.983217,-45.0449,0.3,0.39,0.345,0.449,0.052,4,45
66.983217,-45.0449,0.4,0.49,0.445,0.374,0.052,4,45
66.983217,-45.0449,0.5,0.59,0.545,0.321,0.052,4,45
66.983217,-45.0449,0.6,0.69,0.645,0.368,0.052,4,45
66.983217,-45.0449,0.7,0.79,0.745,0.382,0.052,4,45
66.983217,-45.0449,0.8,0.89,0.845,0.388,0.052,4,45
66.983217,-45.0449,0.9,0.99,0.945,0.585,0.052,4,45
66.983217,-45.0449,1,1.09,1.045,0.499,0.052,4,45
66.983217,-45.0449,1.1,1.19,1.145,0.49,0.052,4,45
66.983217,-45.0449,1.2,1.29,1.245,0.693,0.052,4,45
66.983217,-45.0449,1.3,1.39,1.345,0.744,0.052,4,45
66.983217,-45.0449,1.4,1.49,1.445,0.429,0.052,4,45
66.983217,-45.0449,1.5,1.59,1.545,0.466,0.052,4,45
66.983217,-45.0449,1.6,1.69,1.645,0.482,0.052,4,45
66.983217,-45.0449,1.7,1.79,1.745,0.656,0.052,4,45
66.983217,-45.0449,1.8,1.9,1.85,0.522,0.052,4,45
66.983217,-45.0449,1.91,1.99,1.95,0.647,0.052,4,45
66.983217,-45.0449,2,2.09,2.045,0.429,0.052,4,45
66.983217,-45.0449,2.1,2.17,2.135,0.561,0.052,4,45
66.983217,-45.0449,2.18,2.29,2.235,0.525,0.052,4,45
66.983217,-45.0449,2.3,2.39,2.345,0.499,0.052,4,45
66.983217,-45.0449,2.4,2.49,2.445,0.491,0.052,4,45
66.983217,-45.0449,2.5,2.59,2.545,0.507,0.052,4,45
66.983217,-45.0449,2.6,2.69,2.645,0.54,0.052,4,45
66.983217,-45.0449,2.7,2.79,2.745,0.516,0.052,4,45
66.983217,-45.0449,2.8,2.89,2.845,0.466,0.052,4,45
66.983217,-45.0449,2.9,3.09,2.995,0.516,0.052,4,45
66.983217,-45.0449,3.1,3.19,3.145,0.597,0.052,4,45
66.983217,-45.0449,3.2,3.29,3.245,0.524,0.052,4,45
66.983217,-45.0449,3.3,3.39,3.345,0.532,0.052,4,45
66.983217,-45.0449,3.4,3.49,3.445,0.524,0.052,4,45
66.983217,-45.0449,3.5,3.59,3.545,0.509,0.052,4,45
66.983217,-45.0449,3.6,3.69,3.645,0.516,0.052,4,45
66.983217,-45.0449,3.8,3.89,3.845,0.457,0.052,4,45
66.983217,-45.0449,3.9,3.99,3.945,0.594,0.052,4,45
66.983217,-45.0449,4,4.09,4.045,0.632,0.052,4,45
66.983217,-45.0449,4.1,4.19,4.145,0.696,0.052,4,45
66.983217,-45.0449,4.2,4.29,4.245,0.665,0.052,4,45
66.983217,-45.0449,4.3,4.39,4.345,0.753,0.052,4,45
66.983217,-45.0449,4.4,4.49,4.445,0.657,0.052,4,45
66.983217,-45.0449,4.5,4.59,4.545,0.564,0.052,4,45
66.983217,-45.0449,4.7,4.79,4.745,0.578,0.052,4,45
66.983217,-45.0449,4.8,4.89,4.845,0.674,0.052,4,45
66.983217,-45.0449,4.9,4.99,4.945,0.549,0.052,4,45
66.983217,-45.0449,5,5.09,5.045,0.665,0.052,4,45
66.983217,-45.0449,5.1,5.19,5.145,0.823,0.052,4,45
66.983217,-45.0449,5.2,5.29,5.245,0.84,0.052,4,45
66.983217,-45.0449,5.3,5.4,5.35,0.722,0.052,4,45
66.983217,-45.0449,5.41,5.48,5.445,0.438,0.052,4,45
66.983217,-45.0449,5.49,5.59,5.54,0.427,0.052,4,45
66.983217,-45.0449,5.6,5.69,5.645,0.554,0.052,4,45
66.983217,-45.0449,5.7,5.79,5.745,0.505,0.052,4,45
66.983217,-45.0449,5.8,5.89,5.845,0.492,0.052,4,45
66.983217,-45.0449,5.9,5.99,5.945,0.554,0.052,4,45
66.983217,-45.0449,6,6.09,6.045,0.516,0.052,4,45
66.983217,-45.0449,6.1,6.19,6.145,0.524,0.052,4,45
66.983217,-45.0449,6.2,6.29,6.245,0.499,0.052,4,45
66.983217,-45.0449,6.3,6.39,6.345,0.507,0.052,4,45
66.983217,-45.0449,6.4,6.49,6.445,0.48,0.052,4,45
66.983217,-45.0449,6.5,6.59,6.545,0.554,0.052,4,45
66.983217,-45.0449,6.6,6.69,6.645,0.516,0.052,4,45
66.983217,-45.0449,6.7,6.79,6.745,0.574,0.052,4,45
66.983217,-45.0449,6.8,6.89,6.845,0.524,0.052,4,45
66.983217,-45.0449,6.9,6.99,6.945,0.565,0.052,4,45
66.983217,-45.0449,7,7.09,7.045,0.583,0.052,4,45
66.983217,-45.0449,7.1,7.19,7.145,0.506,0.052,4,45
66.983217,-45.0449,7.2,7.29,7.245,0.526,0.052,4,45
66.983217,-45.0449,7.3,7.39,7.345,0.574,0.052,4,45
66.983217,-45.0449,7.4,7.49,7.445,0.55,0.052,4,45
66.983217,-45.0449,7.5,7.59,7.545,0.582,0.052,4,45
66.983217,-45.0449,7.6,7.69,7.645,0.557,0.052,4,45
66.983217,-45.0449,7.7,7.79,7.745,0.656,0.052,4,45
66.983217,-45.0449,7.8,7.89,7.845,0.615,0.052,4,45
66.983217,-45.0449,7.9,7.99,7.945,0.628,0.052,4,45
66.983217,-45.0449,8,8.09,8.045,0.621,0.052,4,45
66.983217,-45.0449,8.1,8.19,8.145,0.516,0.052,4,45
66.983217,-45.0449,8.2,8.49,8.345,0.54,0.052,4,45
66.983217,-45.0449,8.6,8.69,8.645,0.554,0.052,4,45
66.983217,-45.0449,8.7,8.79,8.745,0.532,0.052,4,45
66.983217,-45.0449,8.8,8.89,8.845,0.524,0.052,4,45
66.983217,-45.0449,8.9,8.99,8.945,0.549,0.052,4,45
66.983217,-45.0449,9,9.09,9.045,0.557,0.052,4,45
66.983217,-45.0449,9.1,9.19,9.145,0.557,0.052,4,45
66.983217,-45.0449,9.2,9.29,9.245,0.582,0.052,4,45
66.983217,-45.0449,9.3,9.39,9.345,0.532,0.052,4,45
66.983217,-45.0449,9.4,9.49,9.445,0.549,0.052,4,45
66.983217,-45.0449,9.5,9.59,9.545,0.551,0.052,4,45
66.983217,-45.0449,9.6,9.69,9.645,0.557,0.052,4,45
66.983217,-45.0449,9.7,9.89,9.795,0.54,0.052,4,45
66.983217,-45.0449,9.9,9.99,9.945,0.549,0.052,4,45
66.983217,-45.0449,10,10.09,10.045,0.569,0.052,4,45
66.983217,-45.0449,10.1,10.19,10.145,0.585,0.052,4,45
66.983217,-45.0449,10.2,10.29,10.245,0.552,0.052,4,45
66.983217,-45.0449,10.3,10.39,10.345,0.549,0.052,4,45
66.983217,-45.0449,10.4,10.49,10.445,0.524,0.052,4,45
66.983217,-45.0449,10.5,10.59,10.545,0.54,0.052,4,45
66.983217,-45.0449,10.6,10.69,10.645,0.732,0.052,4,45
66.983217,-45.0449,10.7,10.79,10.745,0.67,0.052,4,45
66.983217,-45.0449,10.8,10.89,10.845,0.586,0.052,4,45
66.983217,-45.0449,10.9,10.99,10.945,0.557,0.052,4,45
66.983217,-45.0449,11,11.09,11.045,0.601,0.052,4,45
66.983217,-45.0449,11.1,11.19,11.145,0.535,0.052,4,45
66.983217,-45.0449,11.2,11.29,11.245,0.549,0.052,4,45
66.983217,-45.0449,11.3,11.39,11.345,0.582,0.052,4,45
66.983217,-45.0449,11.4,11.49,11.445,0.6,0.052,4,45
66.983217,-45.0449,11.5,11.59,11.545,0.607,0.052,4,45
66.983217,-45.0449,11.6,11.69,11.645,0.582,0.052,4,45
66.983217,-45.0449,11.7,11.79,11.745,0.565,0.052,4,45
66.983217,-45.0449,11.8,11.89,11.845,0.549,0.052,4,45
66.983217,-45.0449,11.9,11.99,11.945,0.574,0.052,4,45
66.983217,-45.0449,12,12.09,12.045,0.565,0.052,4,45
66.983217,-45.0449,12.1,12.19,12.145,0.585,0.052,4,45
66.983217,-45.0449,12.2,12.29,12.245,0.586,0.052,4,45
66.983217,-45.0449,12.3,12.39,12.345,0.574,0.052,4,45
66.983217,-45.0449,12.4,12.49,12.445,0.565,0.052,4,45
66.983217,-45.0449,12.5,12.59,12.545,0.599,0.052,4,45
66.983217,-45.0449,12.6,12.69,12.645,0.566,0.052,4,45
66.983217,-45.0449,12.7,12.79,12.745,0.582,0.052,4,45
66.983217,-45.0449,12.8,13.19,12.995,0.599,0.052,4,45
66.983217,-45.0449,13.2,13.29,13.245,0.609,0.052,4,45
66.983217,-45.0449,13.3,13.39,13.345,0.574,0.052,4,45
66.983217,-45.0449,13.4,13.59,13.495,0.624,0.052,4,45
66.983217,-45.0449,13.6,13.69,13.645,0.574,0.052,4,45
66.983217,-45.0449,13.7,13.79,13.745,0.591,0.052,4,45
66.983217,-45.0449,13.8,13.89,13.845,0.64,0.052,4,45
66.983217,-45.0449,13.9,13.99,13.945,0.565,0.052,4,45
66.983217,-45.0449,14,14.09,14.045,0.574,0.052,4,45
66.983217,-45.0449,14.1,14.18,14.14,0.591,0.052,4,45
66.983217,-45.0449,14.19,14.29,14.24,0.613,0.052,4,45
66.983217,-45.0449,14.3,14.39,14.345,0.59,0.052,4,45
66.983217,-45.0449,14.4,14.59,14.495,0.582,0.052,4,45
66.983217,-45.0449,14.6,14.69,14.645,0.59,0.052,4,45
66.983217,-45.0449,14.7,14.79,14.745,0.574,0.052,4,45
66.983217,-45.0449,14.8,14.89,14.845,0.61,0.052,4,45
66.983217,-45.0449,14.9,14.99,14.945,0.582,0.052,4,45
66.983217,-45.0449,15,15.09,15.045,0.607,0.052,4,45
66.983217,-45.0449,15.1,15.19,15.145,0.599,0.052,4,45
66.983217,-45.0449,15.2,15.29,15.245,0.695,0.052,4,45
66.983217,-45.0449,15.3,15.39,15.345,0.607,0.052,4,45
66.983217,-45.0449,15.4,15.49,15.445,0.615,0.052,4,45
66.983217,-45.0449,15.5,15.59,15.545,0.607,0.052,4,45
66.983217,-45.0449,15.6,15.69,15.645,0.599,0.052,4,45
66.983217,-45.0449,15.7,15.79,15.745,0.604,0.052,4,45
66.983217,-45.0449,15.8,15.89,15.845,0.607,0.052,4,45
66.983217,-45.0449,15.9,15.99,15.945,0.599,0.052,4,45
66.983217,-45.0449,16,16.09,16.045,0.615,0.052,4,45
66.983217,-45.0449,16.1,16.19,16.145,0.59,0.052,4,45
66.983217,-45.0449,16.2,16.28,16.24,0.717,0.052,4,45
